base_name,estimator,run_depth,target,task_id,pred_label,members,n_members
3clusters_3outliers,logreg,4,t0,t0,t0|t3|t8|t9,t0|t3|t9|t8,4
3clusters_3outliers,logreg,4,t1,t1,t0|t1|t3|t9,t1|t9|t3|t0,4
3clusters_3outliers,logreg,4,t10,t10,t10|t6|t7|t8|t9,t10|t8|t7|t9|t6,5
3clusters_3outliers,logreg,4,t11,t11,t11|t19|t7|t8|t9,t11|t19|t9|t7|t8,5
3clusters_3outliers,logreg,4,t12,t12,t12|t15|t16|t8,t12|t8|t16|t15,4
3clusters_3outliers,logreg,4,t13,t13,t13|t14|t16,t13|t14|t16,3
3clusters_3outliers,logreg,4,t14,t14,t12|t13|t14|t3,t14|t12|t13|t3,4
3clusters_3outliers,logreg,4,t15,t15,t13|t15|t2,t15|t13|t2,3
3clusters_3outliers,logreg,4,t16,t16,t12|t16|t6,t16|t12|t6,3
3clusters_3outliers,logreg,4,t17,t17,t10|t17|t18|t8,t17|t8|t18|t10,4
3clusters_3outliers,logreg,4,t18,t18,t17|t18|t9,t18|t17|t9,3
3clusters_3outliers,logreg,4,t19,t19,t11|t19|t7,t19|t11|t7,3
3clusters_3outliers,logreg,4,t2,t2,t10|t11|t2|t3|t4,t2|t4|t3|t11|t10,5
3clusters_3outliers,logreg,4,t3,t3,t1|t15|t2|t3|t8,t3|t15|t8|t1|t2,5
3clusters_3outliers,logreg,4,t4,t4,t2|t3|t4|t8,t4|t2|t3|t8,4
3clusters_3outliers,logreg,4,t5,t5,t1|t10|t2|t4|t5,t5|t10|t4|t1|t2,5
3clusters_3outliers,logreg,4,t6,t6,t6|t7|t9,t6|t7|t9,3
3clusters_3outliers,logreg,4,t7,t7,t10|t6|t7|t9,t7|t9|t6|t10,4
3clusters_3outliers,logreg,4,t8,t8,t0|t4|t7|t8|t9,t8|t4|t9|t7|t0,5
3clusters_3outliers,logreg,4,t9,t9,t19|t7|t8|t9,t9|t7|t8|t19,4
